LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 0       9       6       46000                MACRO_ENB   537403      460007382         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   531027      460001FAC         NB-IoT     1.28秒                   
 0       9       6       46000                MACRO_ENB   255626      4600073CF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   138227      460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463566      460007363         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463315      460007427         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   542428      46000730D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   396650      460007373         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   138505      460007434         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463087      460007446         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   775283      460007448         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463224      46000E361         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255736      460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   530978      460001FB0         NB-IoT     1.28秒                   
 0       9       6       46000                MACRO_ENB   775304      460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037373     460007362         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1038199     46000742D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463743      46000E353         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037329     46000E3FA         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   138568      4600073AF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55125       46000E3E9         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255914      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   527432      460001F9B         NB-IoT     2.56秒                   
 0       9       6       46000                MACRO_ENB   1037629     460007373         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   279139      460007382         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   531145      460001FB1         NB-IoT     1.28秒                   
 0       9       6       46000                MACRO_ENB   775367      4600073CF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   254241      46000744C         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537310      460001F50         NB-IoT     2.56秒                   
 0       9       6       46000                MACRO_ENB   279549      46000E3E9         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   395963      46000E3E7         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   54917       460007392         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   396503      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255118      460007428         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55042       46000E3FB         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   254031      460007434         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537753      46000E36D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55216       460007433         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   279441      46000E3F9         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   395850      46000E352         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   542142      46000742C         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537310      4600073A2         WB-EUTRAN  2.56秒                   
 0       9       6       46000                MACRO_ENB   527638      460001F9B         NB-IoT     2.56秒                   
 0       9       6       46000                MACRO_ENB   278668      46000E371         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   395943      46000E3E7         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   542067      460007433         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537492      460001F4C         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   395741      46000E36B         WB-EUTRAN  NULL                     
(结果个数 = 80)
仍有后续报告输出
---    END
+++    USN/*MEID:6 MENAME:CSMME03BHW*/        2018-05-21 15:02:19+08:00
O&M    #51074
%%
LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 1       4       2       46000                MACRO_ENB   463627      460007373         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   257043      460001F64         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   775074      46000E3FB         WB-EUTRAN  NULL                     
